time,x,y,z
1712872395.3619328,15.354252612496925,9.608771857314222,72.39930160402314,327
1712872395.390254,14.267801600178396,10.929775688591905,71.60160094734252,328
1712872395.4135795,12.687734769085262,13.64180076779343,72.47306283064715,329
1712872395.438097,11.738463874876969,14.622110682209646,71.71553964689961,330
1712872395.4611864,10.231736551119587,16.76911962313915,72.61387141670768,331
1712872395.4842818,9.34537331888995,17.48472198726624,72.15464193989912,332
1712872395.5094435,8.337932196189099,18.143668587752217,72.32488196665847,333
1712872395.5312917,6.617371566652313,19.46605171744279,72.64955535648376,334
1712872395.55264,5.8982206329586,19.792150061900223,72.70783672182579,335
1712872395.5766149,5.089391272837721,20.178458146222933,72.9820816160187,336
1712872395.5989835,3.4305671631820562,20.510008804441437,73.05294968011812,337
1712872395.620469,2.6005611269492803,20.628885584553398,73.10572826956201,338
1712872395.6428912,1.7745932631605255,20.391586183562993,73.3751768577756,339
1712872395.6645668,0.10481713325019897,20.230364461583417,74.31764617679626,340
1712872395.686034,-0.636481337659941,19.93803970457062,74.41106841320128,341
1712872395.706753,-1.586198431300366,19.259420079509106,74.24488938699558,342
1712872395.728473,-3.202390896053765,18.27359176996186,74.96971310593013,343
1712872395.7491279,-4.0486838873915785,17.38802571934978,74.83261949434055,344
1712872395.7694752,-4.809205062746063,16.58723485751415,75.06504329170768,345
1712872395.7929296,-5.705208365372786,15.73927030788632,75.61115895669292,346
1712872395.8131187,-7.352868027574434,13.54035024567852,75.95470518577757,347
1712872395.8353317,-8.057195107767901,12.378559262733761,75.46315110574558,348
1712872395.8564293,-8.809671477070005,11.19769599494033,75.46796663539617,349
1712872395.878112,-10.423305241141733,8.406543281134658,75.48453744002215,350
1712872395.8992913,-11.132101224163387,6.875528650959646,75.19186665692668,351
1712872395.9211006,-11.910890594242126,5.175902599424828,75.37906676765502,352
1712872395.944162,-13.388776403712477,1.6321605772484007,75.24269884965551,353
1712872395.9640496,-14.191481222317915,-0.40125433854230746,74.95687649944637,354
1712872395.9851213,-14.850531150036911,-2.414193040742649,74.51622670091044,355
1712872396.0052586,-15.54579246701218,-4.521824694055272,74.29058405358022,356
1712872396.0269,-17.19103355107345,-9.156719418022577,75.00957338828741,357
1712872396.0479853,-17.72508155642532,-11.896335872139518,74.11747489388534,358
1712872396.068573,-18.75936673382136,-14.337917538139765,75.30480572557825,359
1712872396.089286,-20.076623150682828,-17.635910154327632,77.06961083599901,360
1712872396.1102335,-21.192256897453248,-23.00341508519931,75.95670444758859,361
1712872396.1312525,-21.804158368448576,-25.96626582108145,75.45516847625493,362
1712872396.1521976,-22.07225168783834,-28.66752804733637,73.83693905327264,363
1712872396.1724389,-22.928613377368357,-31.777584045890748,74.22753041184794,364
