Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
82,0,-0.705075,-0.338305,1.786682,-3104.451172,-563.226807,812.321472
83,0,-0.706316,-0.338549,1.785199,-3104.756592,-563.179443,812.064636
84,0,-0.709625,-0.338069,1.782826,-3105.018066,-563.109131,811.694885
85,0,-0.712007,-0.333448,1.784796,-3105.401367,-563.375916,811.373413
86,0,-0.711778,-0.332492,1.784375,-3105.849121,-563.346436,811.022644
87,0,-0.707666,-0.332501,1.785574,-3106.432129,-563.320313,810.697632
88,0,-0.762577,-0.336126,1.726464,-3104.560059,-562.204712,809.00647
89,0,-0.725411,-0.337656,1.75757,-3106.602051,-562.729248,809.37323
90,0,-0.695347,-0.337133,1.781545,-3108.34375,-562.947998,809.421204
91,0,-0.781438,-0.30788,1.719665,-3106.389404,-562.768311,807.28009
92,0,-0.702085,-0.335963,1.777026,-3109.477539,-562.910278,808.027832
93,0,-0.695447,-0.339667,1.775543,-3110.294922,-562.504028,807.310059
94,0,-0.696852,-0.334268,1.779054,-3111.026123,-562.559753,806.248352
95,0,-0.688577,-0.335969,1.779986,-3112.063721,-562.206055,805.495117
96,0,-0.689028,-0.33732,1.778764,-3112.813965,-561.946899,804.370178
97,0,-0.754228,-0.333005,1.722037,-3111.069336,-560.852905,801.632935
98,0,-0.707171,-0.338472,1.760993,-3113.469482,-561.132813,801.263367
99,0,-0.682992,-0.333989,1.782212,-3115.462402,-561.073792,800.14502
100,0,-0.678247,-0.334537,1.783524,-3116.527832,-560.87146,798.684326
101,0,-0.674317,-0.335037,1.782152,-3117.463623,-560.576294,796.9729
102,0,-0.66849,-0.335271,1.78238,-3118.532471,-560.326599,795.28656
103,0,-0.667507,-0.331892,1.777972,-3119.341309,-559.974182,793.306274
104,0,-0.664881,-0.332572,1.774218,-3120.236084,-559.563965,791.443726
105,0,-0.637214,-0.342939,1.782324,-3121.369873,-558.756042,789.748352
106,0,-0.651016,-0.324834,1.781276,-3121.751709,-558.520813,787.430481
107,0,-0.645141,-0.323669,1.779434,-3122.227295,-557.45105,785.492249
108,0,-0.637945,-0.322631,1.781696,-3122.519043,-556.550598,783.752319
109,0,-0.635705,-0.319007,1.781788,-3122.339111,-555.451965,781.912109
110,0,-0.62917,-0.315622,1.784172,-3122.068604,-554.469604,780.492126
111,0,-0.624022,-0.317023,1.783229,-3121.309814,-553.272705,779.254883
112,0,-0.618076,-0.318525,1.783534,-3120.350342,-552.138672,778.389648
113,0,-0.613007,-0.323862,1.78131,-3118.877686,-550.767212,777.671814
114,0,-0.606682,-0.320962,1.78528,-3117.150879,-549.506104,777.047791
115,0,-0.603646,-0.324243,1.784489,-3114.755859,-548.023926,776.472656
116,0,-0.599296,-0.322755,1.788786,-3112.072754,-546.660767,776.111206
117,0,-0.59708,-0.323707,1.786571,-3108.688477,-545.328674,775.815491
118,0,-0.590766,-0.321283,1.789652,-3105.037842,-544.189758,775.815979
119,0,-0.588099,-0.324351,1.789428,-3100.653076,-543.017212,776.059387
120,0,-0.583307,-0.332115,1.7867,-3095.46875,-541.858459,776.503174
121,0,-0.582094,-0.334,1.784937,-3089.645996,-540.872742,777.230957
122,0,-0.580277,-0.338699,1.787525,-3083.052734,-540.166809,778.286682
123,0,-0.581523,-0.339732,1.786558,-3075.507568,-539.295654,779.432312
124,0,-0.586549,-0.338685,1.787377,-3067.174316,-538.688721,781.052124
125,0,-0.585441,-0.342505,1.778012,-3057.615479,-538.060181,782.976196
126,0,-0.588151,-0.346064,1.77148,-3046.997559,-537.863647,785.477539
127,0,-0.592788,-0.349508,1.766031,-3035.067627,-537.720459,788.631531
128,0,-0.601801,-0.355696,1.76119,-3021.46582,-537.665955,792.704712
129,0,-0.606493,-0.364326,1.757936,-3006.273682,-536.963806,797.762024
130,0,-0.6219,-0.369403,1.760681,-2989.199951,-536.889038,804.019653
131,0,-0.634117,-0.380485,1.759934,-2970.199463,-536.688721,811.616638
132,0,-0.646702,-0.394612,1.75581,-2948.957764,-536.663086,820.532349
133,0,-0.660173,-0.41343,1.742474,-2925.072266,-536.900146,831.0224
134,0,-0.677603,-0.424309,1.750135,-2899.45459,-536.85321,843.265564
135,0,-0.706048,-0.44474,1.741588,-2870.480957,-536.65033,857.888123
136,0,-0.731977,-0.456331,1.756598,-2839.716553,-536.308655,875.215881
137,0,-0.768811,-0.485725,1.768998,-2806.475342,-535.638,895.713745
138,0,-0.815409,-0.506593,1.787545,-2771.516357,-535.127319,919.314941
139,0,-0.84664,-0.527416,1.800971,-2735.236572,-534.889404,946.708435
140,0,-0.878853,-0.545742,1.818253,-2698.15918,-535.270508,977.934082
141,0,-0.944979,-0.588966,1.79148,-2659.716797,-535.455017,1012.92395
142,0,-0.994585,-0.624515,1.784481,-2622.061768,-535.369995,1051.269897
143,0,-1.032828,-0.660252,1.775542,-2585.909668,-534.986816,1092.464233
